motif real rand srand zscore pval
6 9591 8711.5 54.0 16.29 0.000
12 6307 5237.1 74.7 14.32 0.000
14 630 392.2 14.2 16.79 0.000
36 6973 5942.8 54.5 18.92 0.000
38 1941 2866.9 54.6 -16.95 1.000
46 38 142.3 8.6 -12.09 1.000
74 16 79.8 6.4 -9.96 1.000
78 25 15.7 2.9 3.20 0.000
98 50 90.5 13.3 -3.05 1.000
102 0 22.4 6.0 -3.72 1.000
108 54 7.5 3.6 12.78 0.000
110 0 6.8 1.7 -3.87 1.000
238 1 1.9 1.0 -0.82 0.850
