motif real rand srand zscore pval
6 16374 15696.9 81.0 8.36 0.000
12 7573 6797.2 57.9 13.41 0.000
14 3649 3723.2 77.9 -0.95 0.850
36 12428 11618.5 68.9 11.75 0.000
38 3170 3918.5 62.7 -11.95 1.000
46 534 595.0 38.2 -1.60 1.000
74 2030 2368.8 64.0 -5.29 1.000
78 705 642.4 20.1 3.11 0.000
98 30 83.2 13.9 -3.82 1.000
102 456 323.8 23.9 5.53 0.000
108 380 308.6 31.0 2.30 0.000
110 334 270.1 16.5 3.87 0.000
238 52 94.2 6.2 -6.81 1.000
