motif real rand srand zscore pval
6 3940 3477.2 28.2 16.43 0.000
12 2080 1549.7 29.9 17.74 0.000
14 0 0.0 0.0 888888 1.000
36 3314 2851.2 28.2 16.43 0.000
38 685 1147.8 28.2 -16.43 1.000
46 0 0.0 0.0 888888 1.000
74 0 0.0 0.0 888888 1.000
78 0 0.0 0.0 888888 1.000
98 0 22.5 5.7 -3.92 1.000
102 0 0.0 0.0 888888 1.000
108 0 0.0 0.0 888888 1.000
110 0 0.0 0.0 888888 1.000
238 0 0.0 0.0 888888 1.000
