motif real rand srand zscore pval
6 17035 15485.8 57.4 27.01 0.000
12 19702 18737.8 156.6 6.16 0.000
14 196 216.8 7.9 -2.62 1.000
36 15384 13827.5 58.0 26.85 0.000
38 4698 6257.9 58.5 -26.66 1.000
46 88 84.6 4.1 0.83 0.200
74 101 136.3 8.4 -4.22 1.000
78 3 1.8 0.9 1.47 0.150
98 965 771.5 41.3 4.69 0.000
102 74 58.7 6.8 2.24 0.000
108 45 34.4 4.3 2.49 0.000
110 3 4.2 0.9 -1.47 0.950
238 0 0.0 0.0 888888 1.000
