motif real rand srand zscore pval
6 12579 11893.4 51.0 13.45 0.000
12 10049 8844.4 77.7 15.51 0.000
14 732 811.1 19.7 -4.02 1.000
36 10724 9998.0 52.1 13.94 0.000
38 2701 3503.7 51.9 -15.46 1.000
46 217 140.3 9.6 7.97 0.000
74 394 553.8 16.1 -9.91 1.000
78 40 55.4 5.7 -2.71 1.000
98 91 201.4 20.0 -5.53 1.000
102 22 92.7 11.7 -6.06 1.000
108 215 98.0 8.5 13.81 0.000
110 25 28.6 6.3 -0.56 0.750
238 16 9.7 1.3 4.84 0.000
