motif real rand srand zscore pval
6 24288 22608.7 89.1 18.85 0.000
12 11821 11806.6 99.4 0.14 0.450
14 11027 10041.3 94.3 10.45 0.000
36 22010 20188.3 72.2 25.23 0.000
38 6199 7260.2 67.6 -15.69 1.000
46 1375 2135.4 49.7 -15.32 1.000
74 8653 7951.9 94.3 7.43 0.000
78 5750 3105.3 69.2 38.22 0.000
98 91 136.7 20.6 -2.21 1.000
102 2382 1198.0 48.8 24.25 0.000
108 527 1145.2 54.3 -11.39 1.000
110 846 1494.8 47.1 -13.79 1.000
238 0 665.3 16.0 -41.49 1.000
