motif real rand srand zscore pval
6 27757 27981.0 109.1 -2.05 0.950
12 14334 15362.5 117.6 -8.75 1.000
14 15983 15241.4 136.5 5.43 0.000
36 17743 17350.3 97.4 4.03 0.000
38 8819 8540.1 105.6 2.64 0.000
46 1769 2440.6 62.0 -10.83 1.000
74 11685 12176.8 112.7 -4.36 1.000
78 7820 5887.6 77.1 25.07 0.000
98 181 295.9 32.2 -3.56 1.000
102 3029 1934.8 69.1 15.83 0.000
108 2033 2087.9 48.1 -1.14 0.850
110 2239 2731.6 52.5 -9.38 1.000
238 426 906.0 26.0 -18.45 1.000
