motif real rand srand zscore pval
6 0 13.9 1.3 -10.42 1.000
12 0 9.6 2.0 -4.68 1.000
14 0 2.0 2.3 -0.88 1.000
36 0 10.5 1.6 -6.68 1.000
38 339 329.4 2.0 4.68 0.000
46 61 60.0 1.0 0.95 0.350
74 0 8.8 3.2 -2.81 1.000
78 0 0.1 0.4 -0.41 1.000
98 0 0.0 0.0 888888 1.000
102 1 1.0 0.0 888888 1.000
108 212 207.7 1.6 2.72 0.000
110 40 39.9 0.4 0.41 0.850
238 27 27.0 0.0 888888 1.000
