motif real rand srand zscore pval
6 10779 9923.0 59.1 14.49 0.000
12 5920 4697.4 76.3 16.03 0.000
14 634 694.0 23.5 -2.55 1.000
36 9177 8280.5 58.8 15.23 0.000
38 1950 2909.2 57.4 -16.70 1.000
46 211 148.3 11.3 5.56 0.000
74 272 412.9 14.7 -9.60 1.000
78 36 50.2 5.5 -2.58 1.000
98 0 67.5 14.2 -4.75 1.000
102 0 60.8 9.0 -6.79 1.000
108 182 78.8 8.4 12.27 0.000
110 22 26.6 3.8 -1.21 0.850
238 16 9.7 1.5 4.33 0.000
