motif real rand srand zscore pval
6 7251 6900.3 47.6 7.37 0.000
12 5094 4576.8 49.6 10.42 0.000
14 79 89.3 4.7 -2.17 1.000
36 9217 8858.3 46.2 7.77 0.000
38 1855 2226.7 46.7 -7.97 1.000
46 69 56.0 2.5 5.26 0.000
74 50 76.3 4.2 -6.27 1.000
78 2 1.1 0.7 1.38 0.250
98 0 43.6 7.2 -6.09 1.000
102 0 14.7 3.8 -3.90 1.000
108 45 24.1 2.7 7.64 0.000
110 1 1.9 0.7 -1.38 1.000
238 0 0.0 0.0 888888 1.000
