motif real rand srand zscore pval
6 0 42.4 6.4 -6.67 1.000
12 0 23.2 6.2 -3.78 1.000
14 0 7.3 4.0 -1.83 1.000
36 12 47.0 5.2 -6.80 1.000
38 339 308.4 5.8 5.24 0.000
46 61 56.5 1.8 2.43 0.000
74 4 26.1 5.1 -4.30 1.000
78 0 1.6 1.3 -1.22 1.000
98 0 1.4 1.7 -0.78 1.000
102 1 4.2 3.4 -0.95 1.000
108 212 200.2 3.3 3.54 0.000
110 40 38.4 1.3 1.22 0.100
238 27 27.0 0.0 888888 1.000
