motif real rand srand zscore pval
6 9851 9567.1 56.5 5.03 0.000
12 4649 4286.8 55.8 6.49 0.000
14 2208 1925.5 35.4 7.99 0.000
36 8418 7946.9 55.0 8.56 0.000
38 1930 2302.2 53.4 -6.97 1.000
46 161 259.9 19.9 -4.97 1.000
74 1657 1748.9 27.8 -3.31 1.000
78 336 295.5 14.1 2.87 0.000
98 51 43.5 9.9 0.75 0.250
102 153 165.3 16.2 -0.76 0.700
108 448 359.6 10.8 8.21 0.000
110 48 120.5 12.1 -6.01 1.000
238 25 14.3 4.4 2.41 0.000
