motif real rand srand zscore pval
6 1864 1728.0 25.3 5.37 0.000
12 1241 1076.2 25.9 6.36 0.000
14 8 8.9 2.1 -0.44 0.800
36 2551 2413.8 24.8 5.54 0.000
38 362 500.7 24.9 -5.57 1.000
46 4 2.5 1.1 1.43 0.150
74 21 24.4 4.0 -0.85 0.750
78 0 0.0 0.0 888888 1.000
98 0 8.0 3.3 -2.39 1.000
102 0 2.0 1.5 -1.33 1.000
108 13 10.2 1.8 1.53 0.100
110 0 0.0 0.0 888888 1.000
238 0 0.0 0.0 888888 1.000
