motif real rand srand zscore pval
6 2235 2127.7 32.6 3.29 0.000
12 2770 2559.7 34.4 6.11 0.000
14 8 10.2 2.0 -1.09 0.900
36 3934 3823.2 32.6 3.40 0.000
38 490 603.0 32.3 -3.50 1.000
46 4 1.9 1.0 2.07 0.100
74 24 33.0 5.0 -1.82 0.950
78 0 0.0 0.0 888888 1.000
98 0 31.8 7.1 -4.48 1.000
102 0 2.1 1.3 -1.70 1.000
108 13 7.4 2.4 2.36 0.000
110 0 0.0 0.0 888888 1.000
238 0 0.0 0.0 888888 1.000
