motif real rand srand zscore pval
6 12413 12316.5 57.4 1.68 0.000
12 4739 4605.3 53.9 2.48 0.000
14 4195 3650.9 50.2 10.84 0.000
36 5150 4732.2 51.1 8.18 0.000
38 2644 2722.5 60.4 -1.30 0.950
46 382 721.3 29.8 -11.39 1.000
74 1175 1273.7 19.4 -5.08 1.000
78 635 432.8 20.0 10.09 0.000
98 3 80.0 9.3 -8.26 1.000
102 483 307.4 22.0 8.00 0.000
108 194 211.9 13.0 -1.38 0.900
110 221 262.1 9.5 -4.32 1.000
238 5 58.7 5.5 -9.70 1.000
