motif real rand srand zscore pval
6 35235 34182.3 144.4 7.29 0.000
12 41698 42290.1 265.2 -2.23 0.950
14 1939 3276.4 51.8 -25.84 1.000
36 24051 23060.3 149.0 6.65 0.000
38 11835 13787.4 145.1 -13.46 1.000
46 1722 760.4 26.5 36.33 0.000
74 775 1988.5 33.8 -35.92 1.000
78 64 163.9 11.8 -8.49 1.000
98 3323 2306.9 64.8 15.68 0.000
102 167 670.7 25.1 -20.05 1.000
108 1208 308.4 13.4 67.19 0.000
110 40 122.2 17.1 -4.80 1.000
238 111 50.3 6.1 9.89 0.000
