motif real rand srand zscore pval
6 63 65.5 0.9 -2.87 1.000
12 0 2.5 0.9 -2.87 1.000
14 9 8.7 0.5 0.72 0.650
36 71 73.2 0.9 -2.46 1.000
38 10 7.5 0.9 2.87 0.000
46 1 1.4 0.5 -0.72 1.000
74 10 10.3 0.5 -0.72 1.000
78 0 0.3 0.5 -0.72 1.000
98 0 0.0 0.0 888888 1.000
102 0 0.0 0.0 888888 1.000
108 0 0.0 0.0 888888 1.000
110 1 0.7 0.5 0.72 0.650
238 0 0.0 0.0 888888 1.000
