motif real rand srand zscore pval
6 33125 32097.2 118.2 8.70 0.000
12 14918 13855.4 147.1 7.22 0.000
14 20805 17804.3 156.2 19.21 0.000
36 18062 15505.6 104.8 24.39 0.000
38 6504 7673.4 99.7 -11.72 1.000
46 1296 2683.0 70.4 -19.72 1.000
74 10051 10107.6 103.4 -0.55 0.650
78 10165 6984.6 62.6 50.78 0.000
98 96 195.8 27.8 -3.59 1.000
102 1824 1418.0 64.0 6.35 0.000
108 1809 1667.3 60.1 2.36 0.000
110 2172 2804.8 63.6 -9.96 1.000
238 422 1271.2 25.0 -33.94 1.000
