motif real rand srand zscore pval
6 5125 5172.9 39.7 -1.21 0.850
12 4668 4335.9 36.4 9.13 0.000
14 862 659.1 19.3 10.51 0.000
36 5850 5682.2 41.0 4.09 0.000
38 1745 1855.6 39.3 -2.82 1.000
46 83 140.2 10.9 -5.23 1.000
74 80 308.3 15.3 -14.91 1.000
78 81 60.1 6.2 3.38 0.000
98 32 83.5 12.2 -4.23 1.000
102 4 71.0 11.2 -5.98 1.000
108 188 29.6 8.7 18.31 0.000
110 0 21.6 5.0 -4.32 1.000
238 10 9.8 2.6 0.10 0.500
