motif real rand srand zscore pval
6 82158 80800.1 207.9 6.53 0.000
12 29917 30131.0 243.5 -0.88 0.800
14 28411 25441.3 192.1 15.46 0.000
36 42675 39780.6 226.6 12.77 0.000
38 19234 20310.5 221.4 -4.86 1.000
46 2817 4634.9 122.6 -14.83 1.000
74 17793 17896.2 140.3 -0.74 0.750
78 8007 6195.6 61.1 29.66 0.000
98 284 425.5 41.5 -3.41 1.000
102 4288 2573.0 92.6 18.53 0.000
108 3736 4017.4 90.8 -3.10 1.000
110 2098 3146.8 64.9 -16.17 1.000
238 469 723.2 24.6 -10.31 1.000
